"","DENINumber","InstitutionName","NoOfChildrenInFundedPlaces","TotalPupils","FullTimePupils","PartTimePupils","NurseryPupils","ReceptionPupils","Year1","Year2","Year3","Year4","Year5","Year6","Year7","Year8","Year9","Year10","Year11","Year12","Year13","Year14","NoOfBoys","NoOfGirls","AddressLine1","AddressLine2","AddressLine3","Town","County","Postcode","Telephone","Management","InstitutionType","Status","DateClosed","Email","DENINumberHyphen"
"832","3030894","St Mary's Primary School",NA,130,NA,NA,48,0,9,11,12,10,15,17,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIDDLEPARK ROAD,GORTACLEA","CUSHENDALL",NA,"BALLYMENA","ANTRIM","BT44 0SQ","028 2177 1693","Roman Catholic Maintained","Primary","Open",NA,"info@stmarysps.cushendall.ni.sch.uk","303-0894"
"833","3030898","St Anne's Primary School",NA,79,NA,NA,0,0,12,9,13,13,6,9,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 RESERVOIR ROAD","CORKEY",NA,"BALLYMENA","ANTRIM","BT44 9JE","028 2764 1429","Roman Catholic Maintained","Primary","Open",NA,"info@stannesps.ballymena.ni.sch.uk","303-0898"
"834","3030899","Seaview Primary School",NA,80,NA,NA,0,0,15,12,8,15,8,9,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11 NEW ROAD","GLENARM",NA,"BALLYMENA","ANTRIM","BT44 0AA","028 2884 1372","Roman Catholic Maintained","Primary","Open",NA,"info@seaviewps.glenarm.ni.sch.uk","303-0899"
"835","3030900","St Anthony's Primary School",NA,84,NA,NA,0,0,10,15,12,11,13,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43 FAIRWAY",NA,NA,"LARNE","ANTRIM","BT40 2BG","028 2826 0444","Roman Catholic Maintained","Primary","Open",NA,"info@stanthonysps.larne.ni.sch.uk","303-0900"
"836","3032018","St Brigid's Primary School Tirkane",NA,253,NA,NA,0,0,41,38,33,39,37,34,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,"130 TIRKANE ROAD",NA,NA,"MAGHERA","LONDONDERRY","BT46 5NH","028 7964 3346","Roman Catholic Maintained","Primary","Open",NA,"info@stbrigidsps.maghera.ni.sch.uk","303-2018"
"837","3032104","Ballyhackett Primary School",NA,31,NA,NA,0,0,5,4,1,3,9,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50 ALTIKEERAGH ROAD","CASTLEROCK",NA,"COLERAINE","LONDONDERRY","BT51 4SR","028 7084 8476","Roman Catholic Maintained","Primary","Open",NA,"info@ballyhackettps.castlerock.ni.sch.uk","303-2104"
"838","3032109","New Row Primary School",NA,195,NA,NA,0,0,30,28,29,31,30,25,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43 NEW ROW","CASTLEDAWSON",NA,"MAGHERAFELT","LONDONDERRY","BT45 8AP","028 7946 8426","Roman Catholic Maintained","Primary","Open",NA,"info@newrowps.castledawson.ni.sch.uk","303-2109"
"839","3032185","St Trea's Primary School",NA,110,NA,NA,0,0,17,10,12,21,15,22,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"225 SHORE ROAD","BALLYRONAN",NA,"MAGHERAFELT","LONDONDERRY","BT45 6LL","028 7941 8393","Roman Catholic Maintained","Primary","Open",NA,"info@sttreasps.magherafelt.ni.sch.uk","303-2185"
"840","3032197","Knocknagin Primary School",NA,76,NA,NA,0,0,9,11,6,10,17,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45 TOBERMORE ROAD","DESERTMARTIN",NA,"MAGHERAFELT","LONDONDERRY","BT45 5LE","028 7963 1794","Roman Catholic Maintained","Primary","Open",NA,"info@knocknaginps.desertmartin.ni.sch.uk","303-2197"
"841","3032202","St Columba's Primary School",NA,89,NA,NA,0,2,14,15,11,14,13,11,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79 BOLERAN ROAD","GARVAGH",NA,"COLERAINE","LONDONDERRY","BT51 5EQ","028 2955 8716","Roman Catholic Maintained","Primary","Open",NA,"info@stcolumbasps.garvagh.ni.sch.uk","303-2202"
"842","3032205","St Columb's Primary School (Cullion)",NA,84,NA,NA,0,0,10,10,13,14,10,17,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70 INISCARN ROAD","DESERTMARTIN",NA,"MAGHERAFELT","LONDONDERRY","BT45 5NQ","028 7963 1382","Roman Catholic Maintained","Primary","Open",NA,"info@stcolumbsps.magherafelt.ni.sch.uk","303-2205"
"843","3032218","Crossroads Primary School",NA,123,NA,NA,0,0,20,19,16,16,18,20,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,"157 DRUMAGARNER ROAD","KILREA",NA,"COLERAINE","LONDONDERRY","BT51 5TW","028 2954 0047","Roman Catholic Maintained","Primary","Open",NA,"info@crossroadsps.kilrea.ni.sch.uk","303-2218"
"844","3032231","St Colum's Primary School",NA,178,NA,NA,0,0,25,29,17,20,33,26,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24 LEVER ROAD",NA,NA,"PORTSTEWART","LONDONDERRY","BT55 7EF","028 7083 3010","Roman Catholic Maintained","Primary","Open",NA,"info@stcolumsps.portstewart.ni.sch.uk","303-2231"
"845","3032246","St John Bosco Primary School Ballynease",NA,100,NA,NA,0,0,12,11,11,16,15,21,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5 CULBANE ROAD","PORTGLENONE",NA,"BALLYMENA","ANTRIM","BT44 8NZ","028 2582 1868","Roman Catholic Maintained","Primary","Open",NA,"info@stjohnboscops.ballymena.ni.sch.uk","303-2246"
"846","3032257","Anahorish Primary School",NA,181,NA,NA,0,0,23,28,27,25,27,28,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"120 DEERPARK ROAD","TOOMEBRIDGE",NA,"ANTRIM","ANTRIM","BT41 3SS","028 7965 0825","Roman Catholic Maintained","Primary","Open",NA,"info@anahorishps.antrim.ni.sch.uk","303-2257"
"847","3032268","St Columba's Primary School",NA,168,NA,NA,0,0,15,22,28,26,25,23,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84 SIXTOWNS ROAD","DRAPERSTOWN",NA,"MAGHERAFELT","LONDONDERRY","BT45 7BB","028 7962 8685","Roman Catholic Maintained","Primary","Open",NA,"info@stcolumbasps.magherafelt.ni.sch.uk","303-2268"
"848","3032271","St Eoghan's Primary School",NA,130,NA,NA,0,0,20,21,16,18,17,23,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51 MONEYNEANY ROAD","DRAPERSTOWN",NA,"MAGHERAFELT","LONDONDERRY","BT45 7DZ","028 7962 8008","Roman Catholic Maintained","Primary","Open",NA,"info@steoghansps.magherafelt.ni.sch.uk","303-2271"
"849","3032273","St Mary's Primary School",NA,188,NA,NA,0,0,24,29,29,23,25,34,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24 MAGHERAFELT ROAD","DRAPERSTOWN",NA,"MAGHERAFELT","LONDONDERRY","BT45 7AF","028 7962 8588","Roman Catholic Maintained","Primary","Open",NA,"info@stmarysps.draperstown.ni.sch.uk","303-2273"
"850","3032274","St John's Primary School",NA,216,NA,NA,0,0,26,34,30,34,22,37,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 MONEYSHARVIN ROAD","SWATRAGH",NA,"MAGHERA","LONDONDERRY","BT46 5PY","028 7940 1623","Roman Catholic Maintained","Primary","Open",NA,"info@stjohnsps.swatragh.ni.sch.uk","303-2274"
"851","3032275","Greenlough Primary School (St Mary's)",NA,172,NA,NA,0,0,25,23,23,27,27,29,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"852","3032281","St Mary's Primary School",NA,221,NA,NA,26,0,25,37,19,27,27,31,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25 MULLAGHBOY ROAD","BELLAGHY",NA,"MAGHERAFELT","LONDONDERRY","BT45 8HX","028 7938 6360","Roman Catholic Maintained","Primary","Open",NA,"info@stmarysps.bellaghy.ni.sch.uk","303-2281"
"853","3032285","St Patrick's & St Joseph's Primary School",NA,167,NA,NA,0,0,15,24,28,25,24,28,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5 CHURCHTOWN ROAD","GARVAGH",NA,"COLERAINE","LONDONDERRY","BT51 5BA","028 29558039","Roman Catholic Maintained","Primary","Open",NA,"info@stpandstjps.garvagh.ni.sch.uk","303-2285"
"854","3032297","St Malachy's Primary School",NA,204,NA,NA,0,0,31,29,26,24,27,28,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BERESFORD AVENUE",NA,NA,"COLERAINE","LONDONDERRY","BT52 1HJ","028 7034 3780","Roman Catholic Maintained","Primary","Open",NA,"info@stmalachysps.coleraine.ni.sch.uk","303-2297"
"855","3033303","St Oliver Plunkett's Primary School",NA,197,NA,NA,26,0,28,28,22,20,21,22,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MAIN STREET","TOOMEBRIDGE",NA,"ANTRIM","ANTRIM","BT41 3NJ","028 7965 0392","Roman Catholic Maintained","Primary","Open",NA,"info@stoliverplunkett.toomebridge.ni.sch.uk","303-3303"
"856","3033313","St Bernard's Primary School",NA,649,NA,NA,53,0,89,84,79,81,88,87,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,"112A ELMFIELD ROAD",NA,NA,"NEWTOWNABBEY","ANTRIM","BT36 6DW","028 9084 4634","Roman Catholic Maintained","Primary","Open",NA,"info@stbernardsps.newtownabbey.ni.sch.uk","303-3313"
"857","3033317","St John's Primary School",NA,159,NA,NA,38,0,15,22,15,19,10,21,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49 BAY ROAD","CARNLOUGH",NA,"BALLYMENA","ANTRIM","BT44 0HJ","028 2888 5646","Roman Catholic Maintained","Primary","Open",NA,"info@stjohnsps.carnlough.ni.sch.uk","303-3317"
"858","3033320","St Patrick's Primary School",NA,241,NA,NA,26,0,28,41,33,30,29,29,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8 GORTAHAR ROAD","RASHARKIN",NA,"BALLYMENA","ANTRIM","BT44 8SB","028 2957 1356","Roman Catholic Maintained","Primary","Open",NA,"info@stpatricksps.ballymena.ni.sch.uk","303-3320"
"859","3033326","St Brigid's Primary School",NA,183,NA,NA,0,0,27,31,24,25,18,38,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CASTLE STREET",NA,NA,"BALLYMONEY","ANTRIM","BT53 6JX","028 2766 2664","Roman Catholic Maintained","Primary","Open",NA,"info@stbrigidsps.ballymoney.ni.sch.uk","303-3326"
"860","3033709","St John's Primary School",NA,152,NA,NA,0,0,17,21,22,24,27,24,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAZELBANK ROAD",NA,NA,"COLERAINE","LONDONDERRY","BT51 3DX","028 7034 4437","Roman Catholic Maintained","Primary","Open",NA,"info@stjohnsps.coleraine.ni.sch.uk","303-3709"
"861","3036026","St Joseph's Primary School",NA,620,NA,NA,104,0,67,71,59,73,84,75,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15 GLENAVY ROAD",NA,NA,"CRUMLIN","ANTRIM","BT29 4LA","028 9442 2345","Roman Catholic Maintained","Primary","Open",NA,"info@stjosephsps.crumlin.ni.sch.uk","303-6026"
"862","3036039","St Mary's Primary School (Glenview)",NA,267,NA,NA,0,0,39,41,37,31,45,32,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47 GLEN ROAD",NA,NA,"MAGHERA","LONDONDERRY","BT46 5AP","028 7964 2712","Roman Catholic Maintained","Primary","Open",NA,"info@stmarysps.maghera.ni.sch.uk","303-6039"
"863","3036046","St Mary's-on-the-Hill Primary School",NA,376,NA,NA,0,0,48,58,41,55,58,58,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,"142 CARNMONEY ROAD",NA,NA,"NEWTOWNABBEY","ANTRIM","BT36 6JU","028 9083 6284","Roman Catholic Maintained","Primary","Open",NA,"info@stmarys.newtownabbey.ni.sch.uk","303-6046"
"864","3036050","St Joseph's Primary School",NA,361,NA,NA,0,0,51,49,48,48,72,49,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,"54 GREYSTONE ROAD","STILES",NA,"ANTRIM","ANTRIM","BT41 1JZ","028 9446 2076","Roman Catholic Maintained","Primary","Open",NA,"info@stjosephsps.antrim.ni.sch.uk","303-6050"
"865","3036100","St James' Primary School and Nursery Unit",NA,292,NA,NA,79,0,24,31,22,39,27,48,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"866","3036103","St Brigid's Primary School",NA,256,NA,NA,0,0,37,39,33,35,27,45,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,"52 MAYOGALL ROAD","KNOCKLOUGHRIM",NA,"MAGHERAFELT","LONDONDERRY","BT45 8PG","028 7964 2014","Roman Catholic Maintained","Primary","Open",NA,"info@stbrigidsps.magherafelt.ni.sch.uk","303-6103"
"867","3036131","St Patrick's Primary School",NA,89,NA,NA,0,0,14,5,10,18,10,14,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,"244 GARRON ROAD","WATERFOOT, GLENARIFFE",NA,"BALLYMENA","ANTRIM","BT44 0RB","028 2177 1619","Roman Catholic Maintained","Primary","Open",NA,"info@stpatricks.glenariff.ni.sch.uk","303-6131"
"868","3036139","St Macnissi's Primary School",NA,185,NA,NA,0,0,29,29,26,19,27,27,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12A CHRISTINE ROAD, OFF MANSE ROAD",NA,NA,"NEWTOWNABBEY","ANTRIM","BT36 6UE","028 9034 2166","Roman Catholic Maintained","Primary","Open",NA,"info@stmacnissisps.newtownabbey.ni.sch.uk","303-6139"
"869","3036147","St Columba's Primary School",NA,266,NA,NA,26,0,32,31,40,38,28,30,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 AGIVEY ROAD","KILREA",NA,"COLERAINE","LONDONDERRY","BT51 5UT","028 2954 0273","Roman Catholic Maintained","Primary","Open",NA,"info@stcolumbasps.coleraine.ni.sch.uk","303-6147"
"870","3036154","St Patrick's Primary School",NA,167,NA,NA,27,0,16,21,18,19,18,29,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SHELTON ROAD","LOUGHGUILE",NA,"BALLYMENA","ANTRIM","BT44 9JR","028 2764 1291","Roman Catholic Maintained","Primary","Open",NA,"info@stpatricksps.loughguile.ni.sch.uk","303-6154"
"871","3036243","St Joseph's Primary School",NA,315,NA,NA,52,0,39,36,27,44,39,30,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40 BRIDGE ROAD","DUNLOY",NA,"BALLYMENA","ANTRIM","BT44 9EF","028 2765 7270","Roman Catholic Maintained","Primary","Open",NA,"info@stjosephsps.dunloy.ni.sch.uk","303-6243"
"872","3036268","St Ciaran's Primary School",NA,49,NA,NA,0,0,3,8,7,8,6,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"132 LAYDE ROAD","CUSHENDUN",NA,"BALLYMENA","ANTRIM","BT44 0NJ","028 2176 1304","Roman Catholic Maintained","Primary","Open",NA,"info@stciaransps.Cushendun.ni.sch.uk","303-6268"
"873","3036292","St Patrick's Primary School (Glen)",NA,194,NA,NA,0,0,28,26,25,33,26,25,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,"161 GLEN ROAD",NA,NA,"MAGHERA","LONDONDERRY","BT46 5JN","028 7964 3267","Roman Catholic Maintained","Primary","Open",NA,"info@glenps.maghera.ni.sch.uk","303-6292"
"874","3036559","St Patrick's & St Brigid's Primary School",NA,430,NA,NA,51,0,62,44,68,58,49,48,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19 MOYLE ROAD",NA,NA,"BALLYCASTLE","ANTRIM","BT54 6AN","028 2076 2765","Roman Catholic Maintained","Primary","Open",NA,"info@stpandstbps.ballycastle.ni.sch.uk","303-6559"
"875","3036562","Holy Family Primary School",NA,585,NA,NA,53,0,63,66,86,79,78,78,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1A CASTLEDAWSON ROAD",NA,NA,"MAGHERAFELT","LONDONDERRY","BT45 6AX","028 7963 2153","Roman Catholic Maintained","Primary","Open",NA,"info@holyfamilyps.magherafelt.ni.sch.uk","303-6562"
"876","3036563","St Nicholas' Primary School",NA,171,NA,NA,0,0,29,18,19,26,28,21,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MINORCA PLACE",NA,NA,"CARRICKFERGUS","ANTRIM","BT38 8AU","028 9335 1149","Roman Catholic Maintained","Primary","Open",NA,"info@stnicholasps.carrickfergus.ni.sch.uk","303-6563"
"877","3036575","St Macnissi's Primary School",NA,183,NA,NA,0,0,21,25,29,27,28,30,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23/25 AGNEW ST",NA,NA,"LARNE","ANTRIM","BT40 1RF","028 2827 3571","Roman Catholic Maintained","Primary","Open",NA,"info@stmacnissisps.larne.ni.sch.uk","303-6575"
"878","3036666","St Colmcille's Primary School",NA,417,NA,NA,0,0,57,66,47,62,58,57,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cullybackey Road",NA,NA,"BALLYMENA","ANTRIM","BT43 5DG","028 2563 9970","Roman Catholic Maintained","Primary","Open",NA,"info@stcolmcillesps.ballymena.ni.sch.uk","303-6666"
"879","3036679","St Brigid's Primary School",NA,408,NA,NA,0,0,61,64,46,58,58,60,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Broughshane Road",NA,NA,"BALLYMENA","ANTRIM","BT43 7DZ","028 2563 3450","Roman Catholic Maintained","Primary","Open",NA,"info@stbrigidsprimaryschool.ballymena.ni.sch.uk","303-6679"
"880","3036683","St Paul's Primary School",NA,42,NA,NA,0,0,5,6,6,7,4,11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32 Ballynafie Road","Ahoghill",NA,"BALLYMENA","ANTRIM","BT42 1LF","2587 1613","Roman Catholic Maintained","Primary","Open",NA,"info@stpaulsps.ahoghill.ni.sch.uk","303-6683"
"881","3036704","Mary Queen of Peace Primary School",NA,200,NA,NA,0,0,23,33,22,32,28,36,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 Lisnamanny Road","Martinstown",NA,"BALLYMENA","ANTRIM","BT43 6QH","028 2175 8358","Roman Catholic Maintained","Primary","Open",NA,"info@MQPPS.glenravel.ni.sch.uk","303-6704"
"882","3042162","Desertmartin Primary School",NA,7,NA,NA,0,0,0,0,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20 DROMORE ROAD","DESERTMARTIN",NA,"MAGHERAFELT","LONDONDERRY","BT45 5JZ","028 7963 4131","Other Maintained","Primary","Open",NA,"info@desertmartinps.desertmartin.ni.sch.uk","304-2162"
"883","3046653","Gaelscoil an Chaistil",NA,122,NA,NA,22,0,15,12,15,17,14,12,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5 BOTHAR AN HAITHE",NA,NA,"BALLYCASTLE","ANTRIM","BT54 6QQ","028 2076 8883","Other Maintained","Primary","Open",NA,"info@bunscoilanchaistil.baileanchaistil.ni.sch.uk","304-6653"
"884","3046678","Gaelscoil na Spéiríní",NA,68,NA,NA,0,0,14,6,11,9,12,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"885","3046684","Gaelscoil Ghleann Darach",NA,85,NA,NA,0,0,15,13,18,14,6,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15 Glenavy Road","Crumlin",NA,"CRUMLIN","ANTRIM","BT29 4LA","028 9442 3977","Other Maintained","Primary","Open",NA,"info@gsghleanndarach.crumlin.ni.sch.uk","304-6684"
"886","3046685","Gaelscoil Eanna",NA,226,NA,NA,30,0,37,28,24,25,27,28,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"887","3046691","Gaelscoil an tSeanchaí",NA,130,NA,NA,19,0,17,17,17,18,10,15,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"888","3050519","Carnlough Controlled Integrated Primary School",NA,37,NA,NA,0,0,5,11,1,5,6,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9 HARBOUR ROAD","CARNLOUGH",NA,"BALLYMENA","ANTRIM","BT44 0EU","028 2888 5272","Controlled Integrated","Primary","Open",NA,"info@carnloughps.carnlough.ni.sch.uk","305-0519"
"889","3050791","Glengormley Integrated Primary School",NA,317,NA,NA,0,0,39,39,40,44,50,54,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,"166 CHURCH ROAD",NA,NA,"NEWTOWNABBEY","ANTRIM","BT36 6HJ","028 9083 2786","Controlled Integrated","Primary","Open",NA,"info@glengormleyps.newtownabbey.ni.sch.uk","305-0791"
"890","3050859","Crumlin Controlled Integrated Primary School",NA,150,NA,NA,0,0,18,20,23,20,29,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"891","3050866","Ballymoney Controlled Integrated Primary School",NA,411,NA,NA,0,0,53,59,62,60,58,67,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"892","3052071","Carhill Integrated Primary School",NA,63,NA,NA,0,0,6,12,6,13,12,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78 CARHILL ROAD","GARVAGH",NA,"COLERAINE","LONDONDERRY","BT51 5PQ","028 2955 8635","Controlled Integrated","Primary","Open",NA,"info@carhillintps.garvagh.ni.sch.uk","305-2071"
"893","3053333","Ballycastle Integrated Primary School",NA,193,NA,NA,26,0,26,23,16,27,22,30,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43 QUAY ROAD",NA,NA,"BALLYCASTLE","ANTRIM","BT54 6BJ","028 2076 2496","Controlled Integrated","Primary","Open",NA,"info@ballycastleips.ballycastle.ni.sch.uk","305-3333"
"894","3056231","Six Mile Integrated Primary School",NA,206,NA,NA,0,16,41,24,33,32,23,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RATHENRAW ESTATE, STILES WAY",NA,NA,"ANTRIM","ANTRIM","BT41 2TA","028 9446 3979","Controlled Integrated","Primary","Open",NA,"info@sixmileips.antrim.ni.sch.uk","305-6231"
"895","3056248","Round Tower Integrated Primary School",NA,273,NA,NA,0,0,33,38,36,36,44,38,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DURNISH ROAD","SPRINGFARM ESTATE",NA,"ANTRIM","ANTRIM","BT41 2TH","028 9446 8672","Controlled Integrated","Primary","Open",NA,"info@roundtowerips.antrim.ni.sch.uk","305-6248"
"896","3056708","Mallusk Controlled Integrated Primary",NA,84,NA,NA,0,0,17,20,20,9,8,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"897","3066544","Millstrand Integrated Primary School",NA,366,NA,NA,54,0,53,58,45,47,46,30,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33 DHU VARREN",NA,NA,"PORTRUSH","ANTRIM","BT56 8EW","028 7082 3090","Grant Maintained Integrated","Primary","Open",NA,"info@millstrandintegratedps.portrush.ni.sch.uk","306-6544"
"898","3066551","Braidside Integrated Primary School",NA,305,NA,NA,26,0,41,42,28,44,42,32,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,"87 FRY'S ROAD",NA,NA,"BALLYMENA","ANTRIM","BT43 7EN","028 2564 7899","Grant Maintained Integrated","Primary","Open",NA,"info@braidsideintegratedps.ballymena.ni.sch.uk","306-6551"
"899","3066561","Corran Integrated Primary School",NA,200,NA,NA,26,0,26,20,31,28,25,21,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BLACKCAVE NORTH","OLD GLENARM ROAD",NA,"LARNE","ANTRIM","BT40 1TP","028 2827 3455","Grant Maintained Integrated","Primary","Open",NA,"info@corranintegratedps.larne.ni.sch.uk","306-6561"
"900","3066568","Acorn Integrated Primary School",NA,212,NA,NA,26,0,27,28,23,27,29,25,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,"110 VICTORIA ROAD",NA,NA,"CARRICKFERGUS","ANTRIM","BT38 7JL","028 9336 0115","Grant Maintained Integrated","Primary","Open",NA,"info@acornintegratedps.carrickfergus.ni.sch.uk","306-6568"
"901","3066613","Spires Integrated Primary School",NA,203,NA,NA,0,0,30,28,28,31,31,29,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84 MONEYMORE ROAD",NA,NA,"MAGHERAFELT","LONDONDERRY","BT45 6HH","028 7963 1014","Grant Maintained Integrated","Primary","Open",NA,"info@spiresips.mfelt.ni.sch.uk","306-6613"
"902","3066652","Maine Integrated Primary School",NA,140,NA,NA,0,0,20,24,22,17,26,17,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,"93 PORTGLENONE ROAD",NA,NA,"RANDALSTOWN","ANTRIM","BT41 3EH","028 9447 8766","Grant Maintained Integrated","Primary","Open",NA,"info@maineips.randalstown.ni.sch.uk","306-6652"
"903","4010512","McKinney Primary School  Dundrod",NA,152,NA,NA,26,0,24,24,20,20,13,9,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 LEATHENSTOWN ROAD","DUNDROD",NA,"CRUMLIN","ANTRIM","BT29 4HX","028 9082 5375","Controlled","Primary","Open",NA,"info@mckinneyps.crumlin.ni.sch.uk","401-0512"
"904","4010720","Ballycarrickmaddy Primary School",NA,204,NA,NA,0,0,30,30,28,30,30,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1A KILLULTAGH ROAD","BALLINDERRY UPPER",NA,"LISBURN","ANTRIM","BT28 2NX","028 9264 8360","Controlled","Primary","Open",NA,"info@ballycarrickmaddyps.lisburn.ni.sch.uk","401-0720"
"905","4010743","Largymore Primary School",NA,196,NA,NA,0,0,25,30,27,28,29,26,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HILLHALL ROAD",NA,NA,"LISBURN","ANTRIM","BT27 5BT","028 9266 3773","Controlled","Primary","Open",NA,"info@largymoreps.lisburn.ni.sch.uk","401-0743"
"906","4010762","Brownlee Primary School",NA,201,NA,NA,0,0,30,25,29,29,27,29,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WALLACE AVENUE",NA,NA,"LISBURN","ANTRIM","BT27 4AA","028 9266 5635","Controlled","Primary","Open",NA,"info@brownleeps.lisburn.ni.sch.uk","401-0762"
"907","4010788","Dunmurry Primary School",NA,228,NA,NA,26,0,27,30,28,30,28,29,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GLENBURN ROAD","DUNMURRY",NA,"BELFAST","ANTRIM","BT17 9AN","028 9030 1454","Controlled","Primary","Open",NA,"info@dunmurryps.belfast.ni.sch.uk","401-0788"
"908","4010807","Lisburn Central Primary School",NA,205,NA,NA,25,0,19,20,27,25,24,28,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,"52-56 HILLSBOROUGH ROAD",NA,NA,"LISBURN","ANTRIM","BT28 1JJ","028 9266 5527","Controlled","Primary","Open",NA,"info@centralps.lisburn.ni.sch.uk","401-0807"
"909","4010882","Seymour Hill Primary School",NA,259,NA,NA,0,0,28,33,38,42,34,48,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2C HAZEL AVENUE","DUNMURRY",NA,"BELFAST","ANTRIM","BT17 9QX","028 9030 1046","Controlled","Primary","Open",NA,"info@seymourhillps.lisburn.ni.sch.uk","401-0882"
